2026-01-30 15:51:06.470 I [MediaServer.exe] [13256-8144] main.cpp:271 start_main | ZLMediaKit(git hash:a050f38/2025-05-11T11:18:34+08:00,branch:,build time:2025-05-11T03:24:50)
2026-01-30 15:51:06.491 W [MediaServer.exe] [13256-8144] SSLUtil.cpp:104 loadPublicKey | BIO_new_file failed: error:80000002:system library::No such file or directory
2026-01-30 15:51:06.491 W [MediaServer.exe] [13256-8144] SSLUtil.cpp:132 loadPrivateKey | BIO_new_file failed: error:10000080:BIO routines::no such file
2026-01-30 15:51:06.492 W [MediaServer.exe] [13256-8144] SSLUtil.cpp:213 makeSSLContext | SSL_CTX_check_private_key failed: error:80000002:system library::No such file or directory
2026-01-30 15:51:06.492 D [MediaServer.exe] [13256-stamp thread] util.cpp:391 operator () | Stamp thread started
2026-01-30 15:51:06.499 I [MediaServer.exe] [13256-8144] EventPoller.cpp:616 EventPollerPool | EventPoller created size: 16
2026-01-30 15:51:06.499 I [MediaServer.exe] [13256-8144] main.cpp:396 start_main | 已启动http api 接口
2026-01-30 15:51:06.499 I [MediaServer.exe] [13256-8144] main.cpp:398 start_main | 已启动http hook 接口
2026-01-30 15:51:06.500 I [MediaServer.exe] [13256-8144] TcpServer.cpp:242 start_l | TCP server listening on [::]: 9994
2026-01-30 15:51:06.501 I [MediaServer.exe] [13256-8144] TcpServer.cpp:242 start_l | TCP server listening on [::]: 9995
2026-01-30 15:51:06.502 I [MediaServer.exe] [13256-8144] TcpServer.cpp:242 start_l | TCP server listening on [::]: 9992
2026-01-30 15:51:12.599 I [MediaServer.exe] [13256-event poller 12] Rtsp.cpp:471 getPortPair | got port from pool:37132-37133
2026-01-30 15:51:12.604 D [MediaServer.exe] [13256-event poller 12] MediaSink.cpp:196 emitAllTrackReady | All track ready use 15ms
2026-01-30 15:51:12.604 I [MediaServer.exe] [13256-event poller 12] MediaSource.cpp:505 emitEvent | 媒体注册:fmp4://__defaultVhost__/live/stream1
2026-01-30 15:51:12.604 I [MediaServer.exe] [13256-event poller 12] MultiMediaSourceMuxer.cpp:597 onAllTrackReady | stream: rtsp://127.0.0.1:9994/live/stream1 , codec info: H264[544/960/29] mpeg4-generic[8000/1/16] 
2026-01-30 15:51:12.604 I [MediaServer.exe] [13256-event poller 12] MediaSource.cpp:505 emitEvent | 媒体注册:rtmp://__defaultVhost__/live/stream1
2026-01-30 15:51:12.604 I [MediaServer.exe] [13256-event poller 12] MediaSource.cpp:505 emitEvent | 媒体注册:ts://__defaultVhost__/live/stream1
2026-01-30 15:51:12.604 I [MediaServer.exe] [13256-event poller 12] MediaSource.cpp:505 emitEvent | 媒体注册:rtsp://__defaultVhost__/live/stream1
2026-01-30 15:51:14.903 I [MediaServer.exe] [13256-event poller 8] Rtsp.cpp:471 getPortPair | got port from pool:32666-32667
2026-01-30 15:51:14.907 D [MediaServer.exe] [13256-event poller 8] MediaSink.cpp:196 emitAllTrackReady | All track ready use 0ms
2026-01-30 15:51:14.907 I [MediaServer.exe] [13256-event poller 8] MediaSource.cpp:505 emitEvent | 媒体注册:fmp4://__defaultVhost__/live/stream2
2026-01-30 15:51:14.907 I [MediaServer.exe] [13256-event poller 8] MultiMediaSourceMuxer.cpp:597 onAllTrackReady | stream: rtsp://127.0.0.1:9994/live/stream2 , codec info: H264[544/960/29] mpeg4-generic[8000/1/16] 
2026-01-30 15:51:14.907 I [MediaServer.exe] [13256-event poller 8] MediaSource.cpp:505 emitEvent | 媒体注册:rtmp://__defaultVhost__/live/stream2
2026-01-30 15:51:14.907 I [MediaServer.exe] [13256-event poller 8] MediaSource.cpp:505 emitEvent | 媒体注册:ts://__defaultVhost__/live/stream2
2026-01-30 15:51:14.907 I [MediaServer.exe] [13256-event poller 8] MediaSource.cpp:505 emitEvent | 媒体注册:rtsp://__defaultVhost__/live/stream2
